location;iso_code;date;total_vaccinations;people_vaccinated;people_fully_vaccinated;total_boosters;daily_vaccinations_raw;daily_vaccinations;total_vaccinations_per_hundred;people_vaccinated_per_hundred;people_fully_vaccinated_per_hundred;total_boosters_per_hundred;daily_vaccinations_per_million
Afghanistan;AFG;22.02.2021;0;0;;;;;0.0;0.0;;;
Afghanistan;AFG;23.02.2021;;;;;;1367;;;;;34
Afghanistan;AFG;24.02.2021;;;;;;1367;;;;;34
Afghanistan;AFG;25.02.2021;;;;;;1367;;;;;34
Afghanistan;AFG;26.02.2021;;;;;;1367;;;;;34
Afghanistan;AFG;27.02.2021;;;;;;1367;;;;;34
Afghanistan;AFG;28.02.2021;8200;8200;;;;1367;0.02;0.02;;;34
Afghanistan;AFG;01.03.2021;;;;;;1580;;;;;40
Afghanistan;AFG;02.03.2021;;;;;;1794;;;;;45
Afghanistan;AFG;03.03.2021;;;;;;2008;;;;;50
Afghanistan;AFG;04.03.2021;;;;;;2221;;;;;56
Afghanistan;AFG;05.03.2021;;;;;;2435;;;;;61
Afghanistan;AFG;06.03.2021;;;;;;2649;;;;;66
Afghanistan;AFG;07.03.2021;;;;;;2862;;;;;72
Afghanistan;AFG;08.03.2021;;;;;;2862;;;;;72
Afghanistan;AFG;09.03.2021;;;;;;2862;;;;;72
Afghanistan;AFG;10.03.2021;;;;;;2862;;;;;72
Afghanistan;AFG;11.03.2021;;;;;;2862;;;;;72
Afghanistan;AFG;12.03.2021;;;;;;2862;;;;;72
Afghanistan;AFG;13.03.2021;;;;;;2862;;;;;72
Afghanistan;AFG;14.03.2021;;;;;;2862;;;;;72
Afghanistan;AFG;15.03.2021;;;;;;2862;;;;;72
Afghanistan;AFG;16.03.2021;54000;54000;;;;2862;0.14;0.14;;;72
Afghanistan;AFG;17.03.2021;;;;;;2882;;;;;72
Afghanistan;AFG;18.03.2021;;;;;;2902;;;;;73
Afghanistan;AFG;19.03.2021;;;;;;2921;;;;;73
Afghanistan;AFG;20.03.2021;;;;;;2941;;;;;74
Afghanistan;AFG;21.03.2021;;;;;;2961;;;;;74
Afghanistan;AFG;22.03.2021;;;;;;2980;;;;;75
Afghanistan;AFG;23.03.2021;;;;;;3000;;;;;75
Afghanistan;AFG;24.03.2021;;;;;;3000;;;;;75
